,Name,Spec,parx,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,BV,MV,BC,L,coords,pmra,pmdec,rv,Binary_Cut,MsEst,MsTrue,int_comp
323,HIP 23708,K7V,85.76329331046311,0.0,10.35,8.93,0.0,0.0,6.272,5.633,5.39,11.66,1.42,8.596507247885024,-0.33000000000000007,0.08,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (76.44753265, -57.55412292, 11.66)>",-32.0,118.8,0.0,False,0.607003822662335,0.6455077832412884,0.05570785029538917
324,HIP 23783,F0V,38.03727653100038,0.0,5.29,4.97,0.0,0.0,3.993,3.89,4.12,26.29,0.32,2.8710470694681867,-2.09,5.87,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (76.66941071, 51.59814453, 26.29)>",-29.3,-173.9,0.0,False,1.5063892548507911,1.592975529940178,0.11134853589554634
325,HIP 23786,K0V,42.24757076468102,0.0,8.540000000000001,7.73,0.0,0.0,6.23,5.821,5.73,23.67,0.81,5.859008710354587,-1.87,0.46,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (76.67520142, 14.44681644, 23.67)>",282.7,-239.1,0.0,False,0.8950374153415804,0.9145637343495784,0.059397211671654376
326,HIP 23835,G4V,64.80881399870381,0.0,5.57,4.91,0.0,0.0,3.624,3.354,3.37,15.43,0.66,3.968170369684259,-0.94,2.33,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (76.86115265, 18.64500618, 15.43)>",536.0,18.5,0.0,True,1.2297705118236706,1.2471009265387945,0.2077592290017002
327,HIP 23852,G1IV,36.14022406938923,0.0,6.81,6.18,0.0,0.0,4.989,4.745,4.609999999999999,27.67,0.63,3.9699542042952394,-2.2099999999999995,2.35,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (76.90965271, 9.4727087, 27.67)>",-5.6,-382.4,0.0,False,1.2293785308360947,1.1651636851292593,0.1296812863352824
328,HIP 23875,A3IV,36.496350364963504,0.0,2.9099999999999997,2.76,0.0,0.0,2.47,2.439,2.38,27.4,0.15,0.5712471858980601,-2.19,49.81,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (76.96263885, -5.08626318, 27.4)>",-83.4,-75.4,0.0,False,2.408949168050716,2.29248096430913,0.04183937672518734
329,HIP 23932,M5V,107.87486515641855,0.0,11.81,10.3,0.0,0.0,6.175,5.591,5.330000000000001,9.27,1.51,10.464601329277516,0.16999999999999993,0.05,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (77.14473724, -18.16864586, 9.27)>",503.8,-1400.2,0.0,False,0.488915629194126,0.4826260661950922,0.02801664890442108
330,HIP 23941,F5V,39.277297721916725,0.0,5.55,5.12,0.0,0.0,4.328,3.925,3.95,25.46,0.43,3.0907080034118173,-2.0300000000000002,4.97,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (77.1819458, -4.4562459, 25.46)>",55.6,16.0,0.0,False,1.4448482183579974,1.3687238409090499,0.1207199683975719
331,HIP 24186,M2V,255.7544757033248,0.0,10.43,8.85,0.0,0.0,5.821,5.316,5.039999999999999,3.91,1.58,10.889116213020666,2.040000000000001,0.01,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (77.89672089, -45.00448608, 3.91)>",6506.1,-5731.4,0.0,False,0.4680290917868449,0.47255806978725096,0.19686053721614644
332,HIP 24205,G2V,35.2485019386676,0.0,7.57,6.98,0.0,0.0,5.931,5.633,5.57,28.37,0.59,4.715703321020738,-2.2600000000000007,1.15,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (77.94309998, 4.40387297, 28.37)>",180.8,-137.3,0.0,False,1.0793796584810853,1.0429483336423955,0.08567814135029735
333,HIP 24210,K0V,35.38570417551309,0.0,8.84,8.04,0.0,0.0,6.618,6.245,6.129999999999999,28.26,0.8,5.7841392124373,-2.259999999999999,0.48,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (77.97621155, -9.11179829, 28.26)>",-72.3,-558.1,0.0,False,0.90567177111755,0.928789997623453,0.03148202478780322
334,HIP 24243,K2V,35.38570417551309,0.0,9.94,8.93,0.0,0.0,7.068,6.574,6.47,28.26,1.01,6.674139212437301,-2.26,0.26,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (78.07245636, 41.44713593, 28.26)>",-14.0,-471.6,0.0,False,0.7902686153287364,0.7637483702847158,0.011097542315970285
335,HIP 24332,F8V,38.28483920367534,0.0,7.0,6.47,0.0,0.0,5.43,5.193,5.17,26.12,0.53,4.385134136984818,-2.09,1.54,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (78.32313538, 37.33763885, 26.12)>",-144.8,-135.1,0.0,False,1.1425810944499588,1.1030389199050545,0.13160933399446095
336,HIP 24419,G8V,34.41156228492773,0.0,8.15,7.43,0.0,0.0,6.142,5.803,5.699999999999999,29.06,0.72,5.113521950189986,-2.3199999999999994,0.86,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (78.58306122, -15.82608509, 29.06)>",201.1,-224.6,0.0,False,1.0095913792923543,1.019507818981814,0.056730824604150916
337,HIP 24608,M1V,76.21951219512194,0.0,0.88,0.08,0.0,0.0,-1.249,-1.573,-1.7999999999999998,13.12,0.8,-0.5096691751982075,-0.59,158.4,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (79.17206573, 45.99902725, 13.12)>",75.5,-427.1,0.0,True,3.066422202074038,2.890149888843974,0.06011304674381733
338,HIP 24783 A,K4V,50.27652086475616,0.0,10.65,9.35,0.0,0.0,6.937,6.318,,19.89,1.3,7.856826084377822,-1.4899999999999993,0.14,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (79.69699097, -21.39366531, 19.89)>",-139.4,-39.1,0.0,False,0.6685467805134823,0.7043741521431326,0.0144076456611056
339,HIP 24786,G0V,39.95205753096284,0.0,6.53,5.96,0.0,0.0,5.184,4.748,4.62,25.03,0.57,3.967695751958883,-1.9899999999999998,2.27,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (79.70931244, -18.13019943, 25.03)>",385.0,61.3,0.0,False,1.2298748331379394,1.2568428969852616,0.14408897652319608
340,HIP 24813,G0V,79.17656373713379,0.0,5.300000000000001,4.69,0.0,0.0,3.397,3.154,3.2500000000000004,12.63,0.61,4.182983247223347,-0.5100000000000007,1.89,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (79.78366089, 40.10066605, 12.63)>",519.4,-664.8,0.0,False,1.1837608853949804,1.1148366055170804,0.24118711093098913
341,HIP 24819 A,K3V,64.72491909385113,0.0,8.82,7.76,0.0,0.0,5.733,5.225,4.949999999999999,15.45,1.06,6.815357581195733,-0.9399999999999995,0.25,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (79.80104065, -3.07414103, 15.45)>",702.1,136.3,0.0,False,0.7739975969765387,0.8103873792155641,0.10516172394523676
342,HIP 24874,K3V,41.15226337448559,0.0,9.71,8.71,0.0,0.0,6.856,6.284,6.200000000000001,24.3,1.0,6.78196863200844,-1.9200000000000008,0.24,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (79.9977951, -15.84014225, 24.3)>",173.9,204.5,0.0,False,0.7777982973682602,0.7341032669583287,0.018865248689944332
343,HIP 25110,F6V,47.86979415988511,0.0,5.5600000000000005,5.08,0.0,0.0,4.416,4.201,3.93,20.89,0.48,3.4803078000984566,-1.6,3.45,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (80.64073944, 79.23075867, 20.89)>",-78.6,161.1,0.0,False,1.3436176916103406,1.3772645164022423,0.15590661515212567
344,HIP 25119 A,K3V,49.43153732081067,0.0,8.72,7.75,0.0,0.0,5.94,5.456,5.23,20.23,0.97,6.220020586145976,-1.5300000000000002,0.39,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (80.65607452, 2.60352898, 20.23)>",54.2,-139.4,0.0,False,0.8462392022031844,0.8475334900093602,0.0729862786594931
345,HIP 25220,K2V,71.02272727272727,0.0,9.040000000000001,7.94,0.0,0.0,5.876,5.375,5.23,14.08,1.1,7.196986725969533,-0.75,0.18,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (80.90927887, 17.32413101, 14.08)>",253.3,-4.7,0.0,False,0.7325092490388676,0.7281864448449479,0.10403927171752086
346,HIP 25278,F8V,69.49270326615705,0.0,5.52,5.0,0.0,0.0,4.431,4.029,3.73,14.39,0.52,4.209696030316974,-0.79,1.8,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (81.10546112, 17.38355255, 14.39)>",250.4,-7.4,0.0,False,1.1782040801514888,1.1492801737391845,0.22556419881357836
347,HIP 25283,K2V,55.55555555555554,0.0,10.370000000000001,9.08,0.0,0.0,6.702,6.105,5.859999999999999,18.0,1.29,7.80363747448347,-1.2800000000000002,0.13,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (81.1255722, -38.96951294, 18.)>",44.0,-58.4,0.0,False,0.673366028130385,0.7056409327153698,0.024138740185675793
348,HIP 25421,K2V,56.27462014631401,0.0,8.65,7.7,0.0,0.0,6.014,5.492,5.390000000000001,17.77,0.95,6.4515628609734925,-1.25,0.3,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (81.56069946, -32.5045433, 17.77)>",246.7,-90.7,0.0,False,0.8169848285869691,0.8067874594765403,0.09092109946678244
349,HIP 25486,F8V,36.98224852071006,0.0,6.84,6.3,0.0,0.0,5.268,5.087,4.93,27.04,0.54,4.139966563652009,-2.16,1.95,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (81.76980591, -11.90084362, 27.04)>",17.2,-49.3,0.0,False,1.192784603667291,1.195568431696844,0.13458736409962066
350,HIP 25544,G7V,52.08333333333333,0.0,7.75,6.98,0.0,0.0,5.704,5.342,5.19,19.2,0.77,5.563493856482252,-1.4100000000000001,0.57,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (81.91469574, -60.41576767, 19.2)>",-148.9,-92.8,0.0,False,0.9380983301730552,0.9362483351322014,0.1339095658750027
351,HIP 25623,K4V,76.80491551459293,0.0,8.78,7.64,0.0,0.0,5.615,5.111,4.859999999999999,13.02,1.14,7.066945078839134,-0.5699999999999994,0.21,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (82.10948181, -3.49761796, 13.02)>",-306.6,-797.1,0.0,False,0.7462525186324847,0.7968010998710947,0.13480902054662058
352,HIP 25647,K1III,65.91957811470006,0.0,7.86,7.0,0.0,0.0,5.316,4.845,4.75,15.17,0.86,6.095072096066348,-0.9100000000000001,0.43,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (82.1865921, -65.44893646, 15.17)>",32.1,151.0,0.0,True,0.8626759933784524,0.8058892507884357,0.16511492342072545
353,HIP 25662,G0V,35.49875754348597,0.0,7.32,6.74,0.0,0.0,5.611,5.37,5.140000000000001,28.17,0.58,4.491065765071133,-2.25,1.46,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (82.21492004, 12.55135345, 28.17)>",81.5,-218.4,0.0,True,1.1217841960160322,1.0883262370932365,0.10304215594245635
354,HIP 25878,M1V,176.05633802816902,0.0,9.45,7.97,0.0,0.0,4.999,4.149,,5.68,1.48,9.198258321444905,1.2299999999999995,0.07,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (82.86229706, -3.67214203, 5.68)>",763.0,-2092.9,0.0,False,0.5637080992228717,0.5673073148332403,0.23486581803936796
355,HIP 26016 C,B8V,41.92872117400418,0.0,8.37,8.35,0.0,0.0,8.52,8.501,8.469999999999999,23.85,0.02,6.462558083119337,-1.8899999999999997,0.33,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (83.27330017, -1.720994, 23.85)>",1.1,1.2,0.0,True,0.8156333631076105,0.7983954807469169,0.041058239395455214
356,HIP 26175,K2V,37.56574004507888,0.0,9.72,8.8,0.0,0.0,7.086,6.628,6.48,26.62,0.92,6.673959744306719,-2.130000000000001,0.24,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (83.70174408, -23.46792984, 26.62)>",318.1,-433.2,0.0,False,0.790289622970272,0.801518688054877,0.01404261125866586
357,HIP 26335,K7V,88.9679715302491,0.0,10.28,8.84,0.0,0.0,6.126,5.436,5.25,11.24,1.44,8.586168443834788,-0.25,0.08,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (84.12913513, 11.32800579, 11.24)>",-2.6,-57.6,0.0,False,0.6077977990542973,0.5680870971085877,0.06418197690723934
358,HIP 26373,K0V,39.8247710075667,0.0,8.8,7.95,0.0,0.0,6.37,5.931,5.8100000000000005,25.11,0.85,5.950766436435388,-2.0,0.44,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (84.23680115, -47.96468735, 25.11)>",25.3,0.0,0.0,False,0.8822507027748687,0.8346812734359417,0.04379885905107309
359,HIP 26394,G1V,54.585152838427945,0.0,6.25,5.65,0.0,0.0,4.869,4.424,,18.32,0.6,4.335372653340842,-1.3100000000000005,1.64,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (84.28663635, -80.47167206, 18.32)>",312.0,1050.2,0.0,False,1.1525336169111222,1.2108821129737672,0.19394278049803176
360,HIP 26501 A,G6V,39.2156862745098,0.0,8.1,7.33,0.0,0.0,6.086,5.783,,25.5,0.77,5.297299097830224,-2.0300000000000002,0.74,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (84.53956604, -46.10490799, 25.5)>",-126.9,-465.0,0.0,False,0.9794855385706488,0.9741062191297767,0.07722239713027228
361,HIP 26505,K2V,49.603174603174594,0.0,8.57,7.74,0.0,0.0,6.131,5.722,5.630000000000001,20.16,0.83,6.217547361132562,-1.5200000000000005,0.34,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (84.55156708, 51.44548416, 20.16)>",-549.4,105.8,0.0,False,0.8465600431842377,0.8882172351102116,0.07251458003031266
362,HIP 26653,G5V,35.77817531305903,0.0,8.6,7.83,0.0,0.0,6.424,6.121,6.0,27.95,0.77,5.59809093888779,-2.2300000000000004,0.56,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (84.96816254, 52.89783478, 27.95)>",-12.7,-141.7,0.0,False,0.93290419279392,0.8695217844875363,0.04164454571121669
363,HIP 26690,F0V,43.01075268817204,0.0,8.77,8.32,0.0,0.0,7.598,7.453,,23.25,0.45,6.487885213870136,-1.8399999999999999,0.22,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (85.07563019, 15.35039997, 23.25)>",14.0,-28.3,0.0,False,0.8125330339043633,0.7876293567583968,0.033231107938072366
364,HIP 26779,K1V,81.43322475570032,0.0,7.04,6.2,0.0,0.0,4.304,3.991,4.2700000000000005,12.28,0.84,5.754008165974256,-0.4500000000000002,0.5,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (85.33472443, 53.48233032, 12.28)>",2.7,-523.6,0.0,False,0.9100033961064848,0.9598574268280609,0.25900554095280487
365,HIP 26801,M1V,80.38585209003215,0.0,11.25,9.78,0.0,0.0,6.586,5.963,5.76,12.44,1.47,9.305898098226,-0.46999999999999886,0.06,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (85.37802887, 53.49105835, 12.44)>",3.2,-517.3,0.0,False,0.5565359146535678,0.5900341761665806,0.022031681494784544
366,HIP 26834,G8IV,34.43526170798898,0.0,8.16,7.34,0.0,0.0,6.061,5.713,5.62,29.04,0.82,5.025016939859719,-2.3099999999999996,0.92,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (85.47307587, -15.6302557, 29.04)>",243.9,-118.0,0.0,False,1.0245580220511807,0.9747317972568065,0.06025076575966637
367,HIP 26857,M4V,171.52658662092622,0.0,13.09,11.48,0.0,0.0,7.124,6.627,6.3100000000000005,5.83,1.61,12.65165722620493,1.17,0.01,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (85.533638, 12.49315453, 5.83)>",1999.0,-1570.6,0.0,False,0.3990394270617318,0.376679324790042,0.01832053192482944
368,HIP 27072,F7V,111.98208286674132,0.0,4.07,3.59,0.0,0.0,2.804,2.606,2.37,8.93,0.48,3.835742705557268,0.25,2.51,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (86.11656189, -22.44748688, 8.93)>",-292.4,-368.4,0.0,False,1.2593485966432825,1.1787839256143116,0.26768075544612163
369,HIP 27075,F8V,39.15426781519185,0.0,6.9,6.34,0.0,0.0,5.321,5.109,4.96,25.54,0.56,4.303895535363018,-2.0300000000000002,1.67,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (86.11836243, -20.12666321, 25.54)>",-18.2,37.0,0.0,False,1.1588906574889488,1.2106596419880968,0.14369548858106995
370,HIP 27080,G8V,38.61003861003861,0.0,8.85,8.09,0.0,0.0,6.598,6.212,6.09,25.9,0.76,6.02350117959374,-2.0700000000000003,0.4,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (86.13520813, -70.14658356, 25.9)>",-309.0,1239.2,0.0,False,0.8723038387415664,0.8726341367650035,0.035605408215490075
371,HIP 27188,M0V,72.83321194464675,0.0,10.399999999999999,9.02,0.0,0.0,6.353,5.654,5.49,13.73,1.38,8.331647313816225,-0.6899999999999995,0.1,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (86.44959259, 62.23868561, 13.73)>",297.8,-785.3,0.0,False,0.6279141608872799,0.6684479231340092,0.039414878005331215
372,HIP 27207,K0V,45.76659038901601,0.0,8.16,7.33,0.0,0.0,5.838,5.46,5.35,21.85,0.83,5.632742793467797,-1.6900000000000004,0.57,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (86.50637054, 37.28588867, 21.85)>",487.0,-509.7,0.0,False,0.9277432494057569,0.8708503401883844,0.09351247469934248
373,HIP 27244,G2V,35.48616039744499,0.0,7.22,6.63,0.0,0.0,5.61,5.346,5.22,28.18,0.59,4.380295056133312,-2.25,1.57,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (86.61647034, -53.2189827, 28.18)>",38.2,-140.6,0.0,False,1.1435437423680377,1.1312192711553415,0.10830997215594428
374,HIP 27288,A2V,46.27487274409995,0.0,3.65,3.55,0.0,0.0,3.39,3.314,3.3099999999999996,21.61,0.1,1.876726165583793,-1.67,15.4,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (86.73896027, -14.8219471, 21.61)>",-14.8,-1.2,0.0,False,1.8318984802553928,1.8946806000715242,0.08737979204381154
375,HIP 27321,A5V,51.44032921810698,0.0,4.0200000000000005,3.85,0.0,0.0,3.669,3.544,3.43,19.44,0.17,2.4065186970487207,-1.44,9.08,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (86.82118225, -51.06671143, 19.44)>",4.7,82.0,0.0,False,1.6482628920622975,1.6916448295434219,0.11917380272084799
376,HIP 27435,G3V,65.87615283267456,0.0,6.609999999999999,5.97,0.0,0.0,5.26,4.595,4.449999999999999,15.18,0.64,5.063641142202692,-0.9100000000000001,0.85,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (87.14543152, -4.09408712, 15.18)>",62.4,-230.7,0.0,False,1.0179882902495159,0.9515195727721624,0.22804313639822796
377,HIP 27604,F0V,106.38297872340425,0.0,9.620000000000001,9.38,0.0,0.0,8.962,8.854,,9.4,0.24,9.514360732001508,0.129999999999999,0.01,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (87.66464233, -1.42954803, 9.4)>",-3.6,65.5,0.0,False,0.5431065806287505,0.5158738652786806,0.03437429433046718
378,HIP 27628,K2III,37.41114852225962,0.0,4.27,3.1,0.0,0.0,1.296,0.788,0.56,26.73,1.17,0.9650052062173136,-2.14,52.65,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (87.7397995, -35.76929092, 26.73)>",55.7,404.7,0.0,False,2.213479263305543,2.289969070691977,0.04222636340174262
379,HIP 27887,K3V,76.92307692307692,0.0,8.11,7.17,0.0,0.0,5.412,4.968,4.79,13.0,0.94,6.600283238465816,-0.5700000000000003,0.27,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (88.51792145, -60.02332687, 13.)>",-51.8,-60.4,0.0,False,0.7989857565891216,0.8010497610144541,0.17310517244615803
380,HIP 27890,K1III,38.095238095238095,0.0,5.6899999999999995,4.64,0.0,0.0,2.954,2.419,,26.25,1.05,2.544353461290121,-2.09,12.3,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (88.52458191, -63.09102249, 26.25)>",120.1,573.4,0.0,False,1.6044172674128618,1.6524273966534293,0.08198841994645883
381,HIP 27913,G0V,115.47344110854502,0.0,4.9799999999999995,4.39,0.0,0.0,3.434,3.19,2.9699999999999998,8.66,0.59,4.7024105399132665,0.3200000000000003,1.17,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (88.59618378, 20.27641487, 8.66)>",-163.2,-98.9,0.0,True,1.081826504693481,1.0068824317942469,0.3031469779502094
382,HIP 27918,K3V,37.63643206624012,0.0,9.85,8.84,0.0,0.0,6.992,6.466,6.35,26.57,1.01,6.7180422279486125,-2.12,0.26,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (88.61888123, 2.14380288, 26.57)>",79.2,-646.5,0.0,False,0.7851548824342679,0.8288676226730932,0.013786444492248483
383,HIP 27922 A,G6V,42.42681374628764,0.0,8.2,7.47,0.0,0.0,6.207,5.836,5.699999999999999,23.57,0.73,5.60820208737838,-1.87,0.52,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (88.62541199, -19.70428276, 23.57)>",92.6,-26.2,0.0,False,0.9313940023135135,0.9516744140536912,0.07578128968013736
384,HIP 28066,G5IV,37.59398496240601,0.0,7.25,6.6,0.0,0.0,5.367,5.101,5.039999999999999,26.6,0.65,4.4755918168446645,-2.119999999999999,1.47,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (89.0133667, 13.92608833, 26.6)>",373.0,-483.8,0.0,False,1.1247894219136045,1.1367407102055342,0.11695502166347713
385,HIP 28103,F1V,67.2043010752688,0.0,4.05,3.71,0.0,0.0,3.063,2.985,2.86,14.88,0.34,2.846985343950701,-0.8599999999999999,6.02,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (89.10132599, -14.16803837, 14.88)>",-42.2,139.0,0.0,False,1.5133379840650398,1.5238832973998817,0.16623362656269156
386,HIP 28267,F7V,42.4628450106157,0.0,7.71,6.99,0.0,0.0,5.662,5.266,5.17,23.55,0.72,5.130045442675426,-1.8600000000000003,0.87,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (89.58956146, -4.65017319, 23.55)>",71.2,-203.3,0.0,False,1.0068313702079101,0.9969921180893354,0.1145295995827762
387,HIP 28360,A2V,40.20908725371934,0.0,1.96,1.89,0.0,0.0,1.756,1.76,1.8599999999999999,24.87,0.07,-0.08837892634967992,-1.97,110.91,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (89.88237, 44.94743347, 24.87)>",-56.4,-0.9,0.0,False,2.7867734285213013,2.6230715049765285,0.036803564689517086
388,HIP 28368,M1V,73.90983000739098,0.0,11.73,10.25,0.0,0.0,7.068,6.416,6.21,13.53,1.48,9.593511017011885,-0.6600000000000001,0.05,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (89.90726471, 58.59362793, 13.53)>",8.6,-248.7,0.0,False,0.5381622361754356,0.540824213964455,0.011233458155480186
389,HIP 28442,K4V,61.01281269066503,0.0,8.99,7.85,0.0,0.0,5.659,5.07,4.8999999999999995,16.39,1.14,6.777105232147504,-1.0699999999999994,0.32,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (90.0825119, -31.03117943, 16.39)>",-378.6,1015.2,0.0,False,0.7783542773890326,0.8306143685015999,0.09263401545430797
390,HIP 28634,F5V,34.95281370150297,0.0,7.050000000000001,6.49,0.0,0.0,5.391,5.151,5.09,28.61,0.56,4.2074107109736865,-2.2800000000000002,1.84,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (90.68797302, 47.80930328, 28.61)>",32.2,92.6,0.0,False,1.1786780791388363,1.1874438753939047,0.11839177991926808
391,HIP 28764,F8V,37.63643206624012,0.0,6.869999999999999,6.35,0.0,0.0,5.409,5.149,5.039999999999999,26.57,0.52,4.228042227948612,-2.119999999999999,1.78,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (91.11878204, -45.03720093, 26.57)>",-82.1,246.3,0.0,False,1.1744083027821897,1.2309708475495014,0.1367902513199609
392,HIP 28790 A,F5V,37.174721189591075,0.0,6.42,5.93,0.0,0.0,5.083,4.921,4.75,26.9,0.49,3.7812385999879594,-2.15,2.63,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (91.16736603, -45.0795517, 26.9)>",-80.0,254.3,0.0,True,1.2718012024342809,1.187284510198549,0.1319672125294072
393,HIP 28796 A,G6V,33.33333333333333,0.0,7.31,6.6,0.0,0.0,5.345,4.971,4.819999999999999,30.0,0.71,4.2143937264016875,-2.3899999999999997,1.99,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (91.19488525, -48.45824814, 30.)>",-105.6,-23.3,0.0,False,1.1772305460945953,1.214961032664117,0.10079195089278402
394,HIP 28898,K1V,36.496350364963504,0.0,9.29,8.45,0.0,0.0,6.816,6.373,6.26,27.4,0.84,6.26124718589806,-2.1899999999999995,0.34,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (91.51567841, -59.54137421, 27.4)>",-224.8,-742.6,0.0,False,0.8409174894716683,0.8097189545474909,0.01959265726505903
395,HIP 28908,G0V,39.032006245120996,0.0,6.72,6.12,0.0,0.0,5.011,4.709,4.6,25.62,0.6,4.077104372956663,-2.04,2.1,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (91.53593445, 35.38845825, 25.62)>",-124.2,-295.3,0.0,False,1.2061406157130548,1.1921415314067758,0.1417921428300587
396,HIP 28936,F0V,68.44626967830253,0.0,9.28,8.91,0.0,0.0,8.131,7.973,7.9,14.61,0.37,8.086748920328516,-0.8300000000000001,0.05,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (91.61126709, 10.74847889, 14.61)>",4.7,-21.0,0.0,False,0.6483465142223466,0.627149045925754,0.0317687671557785
397,HIP 28954,K0V,65.48788474132286,0.0,7.5600000000000005,6.75,0.0,0.0,5.317,4.942,4.82,15.27,0.81,5.830804814717895,-0.9199999999999999,0.47,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (91.66896057, 15.54235744, 15.27)>",-122.3,-103.3,0.0,False,0.8990220256298991,0.8951669362131648,0.18703341102029306
